0.6705,0.5805,0.5044,0.3912,0.5697,0.3703,0.5802,0.4923,0.5651,0.3196,0.6734,0.4906,0.3779,0.4615,0.863,0.2182,0.4382,0.5822,0.6012,0.4429,0.0025,0.8501,0.3207,0.2483,0.978,0.1178,0.653,0.4345,0.942,0.4227,0.7799,0.1746,0.2341,0.6788,0.9095,0.3581,0.2632,0.3076,0.734,0.5168,0.7985,0.4475,0.3934,0.3708,0.8952,0.1353,0.2532,0.6599,0.3023,0.5051,48.4488,21.1292,0.0,12.1709,0.0438
0.5574,0.3115,0.117,0.5324,1.3552,-0.0093,0.115,0.5558,0.6589,0.6832,0.5,0.2824,0.1165,0.4884,1.2494,0.0776,0.0679,0.3717,0.6239,0.6746,0.0025,0.8501,0.3207,0.2483,0.978,0.1178,0.653,0.4345,0.942,0.4227,0.3103,0.6265,0.199,0.1994,1.3969,-0.2181,0.127,0.7221,0.4151,0.6899,0.6118,0.542,0.3763,0.3421,0.9146,0.1312,0.347,0.607,0.4524,0.4858,10.721,0.4354,0.0,24.2361,8.7064
0.3894,0.5647,0.3259,0.3019,0.8919,0.1902,0.352,0.3814,0.577,0.4879,0.3582,0.4442,0.1747,0.42,1.172,0.089,0.2347,0.3896,0.7145,0.6028,0.0025,0.8501,0.3207,0.2483,0.978,0.1178,0.653,0.4345,0.942,0.4227,0.4478,0.5034,0.3816,0.4844,0.6068,0.4777,0.5931,0.1865,0.873,0.3384,0.1691,0.6035,0.2077,0.3579,1.1266,0.0952,0.3972,0.377,0.8501,0.5429,15.3195,0.2159,0.0,19.6934,0.0
-0.0549,0.6732,0.1016,0.412,1.3677,-0.0155,0.4779,0.4176,1.1387,0.5873,0.0027,0.7996,0.281,0.2744,1.0294,0.1096,0.5994,0.402,0.9549,0.4547,0.0025,0.8501,0.3207,0.2483,0.978,0.1178,0.653,0.4345,0.942,0.4227,-0.2535,0.9097,0.1439,0.1846,1.4494,-0.1956,0.496,0.5673,1.0011,0.603,0.1691,0.6035,0.2077,0.3579,1.1266,0.0952,0.3972,0.377,0.8501,0.5429,5.6103,0.0,0.0,53.4505,0.0
0.2061,0.8363,0.4735,0.1514,0.65,0.2596,0.6272,0.3852,0.6343,0.3375,0.0027,0.7996,0.281,0.2744,1.0294,0.1096,0.5994,0.402,0.9549,0.4547,0.0025,0.8501,0.3207,0.2483,0.978,0.1178,0.653,0.4345,0.942,0.4227,0.4167,0.6114,0.4546,0.3714,0.5182,0.4652,0.6332,0.2286,0.762,0.3003,0.1691,0.6035,0.2077,0.3579,1.1266,0.0952,0.3972,0.377,0.8501,0.5429,0.128,0.0,0.0,20.79,0.0
-0.1039,0.689,0.0782,0.4243,1.4219,-0.0408,0.4963,0.4284,1.2029,0.5971,0.0027,0.7996,0.281,0.2744,1.0294,0.1096,0.5994,0.402,0.9549,0.4547,0.0025,0.8501,0.3207,0.2483,0.978,0.1178,0.653,0.4345,0.942,0.4227,-0.1898,0.8317,0.1291,0.2646,1.4223,-0.1335,0.4961,0.5167,1.0571,0.5959,0.1691,0.6035,0.2077,0.3579,1.1266,0.0952,0.3972,0.377,0.8501,0.5429,2.9636,0.0,0.0,8.4268,0.0
0.2297,0.8065,0.4627,0.1628,0.662,0.2594,0.5962,0.3775,0.6178,0.3504,0.0027,0.7996,0.281,0.2744,1.0294,0.1096,0.5994,0.402,0.9549,0.4547,0.0025,0.8501,0.3207,0.2483,0.978,0.1178,0.653,0.4345,0.942,0.4227,0.4274,0.6627,0.5075,0.2954,0.4439,0.4657,0.6359,0.2495,0.6516,0.278,0.1691,0.6035,0.2077,0.3579,1.1266,0.0952,0.3972,0.377,0.8501,0.5429,0.8236,0.0,0.0,19.8438,0.0
-0.1269,0.713,0.0837,0.4173,1.4191,-0.0436,0.5216,0.4355,1.2224,0.5886,0.0027,0.7996,0.281,0.2744,1.0294,0.1096,0.5994,0.402,0.9549,0.4547,0.0025,0.8501,0.3207,0.2483,0.978,0.1178,0.653,0.4345,0.942,0.4227,-0.1042,0.7873,0.1648,0.3033,1.3037,-0.0408,0.5231,0.467,1.0505,0.5546,0.1691,0.6035,0.2077,0.3579,1.1266,0.0952,0.3972,0.377,0.8501,0.5429,1.7807,0.0,0.0,0.0,0.0
0.2682,0.8544,0.5311,0.0643,0.5617,0.2624,0.5753,0.401,0.4448,0.3275,0.0027,0.7996,0.281,0.2744,1.0294,0.1096,0.5994,0.402,0.9549,0.4547,0.0025,0.8501,0.3207,0.2483,0.978,0.1178,0.653,0.4345,0.942,0.4227,-0.1042,0.7873,0.1648,0.3033,1.3037,-0.0408,0.5231,0.467,1.0505,0.5546,0.1691,0.6035,0.2077,0.3579,1.1266,0.0952,0.3972,0.377,0.8501,0.5429,1.0305,0.0,0.0,0.0,0.0
-0.1425,0.7015,0.0643,0.4529,1.4442,-0.0382,0.541,0.4258,1.291,0.5902,0.0027,0.7996,0.281,0.2744,1.0294,0.1096,0.5994,0.402,0.9549,0.4547,0.0025,0.8501,0.3207,0.2483,0.978,0.1178,0.653,0.4345,0.942,0.4227,-0.1042,0.7873,0.1648,0.3033,1.3037,-0.0408,0.5231,0.467,1.0505,0.5546,0.1691,0.6035,0.2077,0.3579,1.1266,0.0952,0.3972,0.377,0.8501,0.5429,4.066,0.0,0.0,0.0,0.0
